original_filename,database,pathology,detection,split,new_filename,shape1,shape2
CRIS13636147.png,DS1,covid,abnormal,5,covid_DS1_CRIS13636147.png,2800.0,3408.0
CRIS13636620.png,DS1,covid,abnormal,1,covid_DS1_CRIS13636620.png,3052.0,3052.0
CRIS13637144.png,DS1,covid,abnormal,4,covid_DS1_CRIS13637144.png,3052.0,3052.0
CRIS13637320.png,DS1,covid,abnormal,1,covid_DS1_CRIS13637320.png,2754.0,3019.0
CRIS13638063.png,DS1,covid,abnormal,5,covid_DS1_CRIS13638063.png,2882.0,2616.0
CRIS13638194.png,DS1,covid,abnormal,5,covid_DS1_CRIS13638194.png,2800.0,3408.0
CRIS13638471.png,DS1,covid,abnormal,5,covid_DS1_CRIS13638471.png,3052.0,3052.0
CRIS13638493.png,DS1,covid,abnormal,2,covid_DS1_CRIS13638493.png,2800.0,3408.0
CRIS13638880.png,DS1,covid,abnormal,4,covid_DS1_CRIS13638880.png,2800.0,3408.0
CRIS13638988.png,DS1,covid,abnormal,2,covid_DS1_CRIS13638988.png,2832.0,2575.0
CRIS13639020.png,DS1,covid,abnormal,1,covid_DS1_CRIS13639020.png,2964.0,3052.0
CRIS13639040.png,DS1,covid,abnormal,5,covid_DS1_CRIS13639040.png,3052.0,3052.0
CRIS13639224.png,DS1,covid,abnormal,test,covid_DS1_CRIS13639224.png,3052.0,3052.0
CRIS13639335.png,DS1,covid,abnormal,4,covid_DS1_CRIS13639335.png,3052.0,3052.0
CRIS13639430.png,DS1,covid,abnormal,test,covid_DS1_CRIS13639430.png,3052.0,3052.0
CRIS13639473.png,DS1,covid,abnormal,2,covid_DS1_CRIS13639473.png,3052.0,3052.0
CRIS13639730.png,DS1,covid,abnormal,3,covid_DS1_CRIS13639730.png,3052.0,3052.0
CRIS13639877.png,DS1,covid,abnormal,3,covid_DS1_CRIS13639877.png,2889.0,2463.0
CRIS13639978.png,DS1,covid,abnormal,1,covid_DS1_CRIS13639978.png,3052.0,2772.0
CRIS13640026.png,DS1,covid,abnormal,4,covid_DS1_CRIS13640026.png,2800.0,3408.0
CRIS13640040.png,DS1,covid,abnormal,3,covid_DS1_CRIS13640040.png,3052.0,3052.0
CRIS13640147.png,DS1,covid,abnormal,4,covid_DS1_CRIS13640147.png,3052.0,3052.0
CRIS13640152.png,DS1,covid,abnormal,1,covid_DS1_CRIS13640152.png,3052.0,3052.0
CRIS13640235.png,DS1,covid,abnormal,1,covid_DS1_CRIS13640235.png,3052.0,3052.0
CRIS13640257.png,DS1,covid,abnormal,1,covid_DS1_CRIS13640257.png,3052.0,3052.0
CRIS13640297.png,DS1,covid,abnormal,1,covid_DS1_CRIS13640297.png,3052.0,3052.0
CRIS13640301.png,DS1,covid,abnormal,test,covid_DS1_CRIS13640301.png,3052.0,3052.0
CRIS13640334.png,DS1,covid,abnormal,test,covid_DS1_CRIS13640334.png,3052.0,3052.0
CRIS13640439.png,DS1,covid,abnormal,test,covid_DS1_CRIS13640439.png,3052.0,3052.0
CRIS13640451.png,DS1,covid,abnormal,test,covid_DS1_CRIS13640451.png,3052.0,3052.0
CRIS13640553.png,DS1,covid,abnormal,1,covid_DS1_CRIS13640553.png,3052.0,3052.0
CRIS13640564.png,DS1,covid,abnormal,1,covid_DS1_CRIS13640564.png,3052.0,3052.0
CRIS13640606.png,DS1,covid,abnormal,3,covid_DS1_CRIS13640606.png,3052.0,3052.0
CRIS13640638.png,DS1,covid,abnormal,3,covid_DS1_CRIS13640638.png,3052.0,3052.0
CRIS13640660.png,DS1,covid,abnormal,3,covid_DS1_CRIS13640660.png,2980.0,3052.0
CRIS13640752.png,DS1,covid,abnormal,test,covid_DS1_CRIS13640752.png,3052.0,3052.0
CRIS13641361.png,DS1,covid,abnormal,2,covid_DS1_CRIS13641361.png,3052.0,3052.0
CRIS13641529.png,DS1,covid,abnormal,2,covid_DS1_CRIS13641529.png,3052.0,2996.0
CRIS13641774.png,DS1,covid,abnormal,2,covid_DS1_CRIS13641774.png,3052.0,3052.0
CRIS13641895.png,DS1,covid,abnormal,5,covid_DS1_CRIS13641895.png,3052.0,3052.0
CRIS13642041.png,DS1,covid,abnormal,4,covid_DS1_CRIS13642041.png,2822.0,2803.0
CRIS13642310.png,DS1,covid,abnormal,test,covid_DS1_CRIS13642310.png,2600.0,2749.0
CRIS13642357.png,DS1,covid,abnormal,3,covid_DS1_CRIS13642357.png,3052.0,3020.0
CRIS13642379.png,DS1,covid,abnormal,test,covid_DS1_CRIS13642379.png,2450.0,2654.0
CRIS13642405.png,DS1,covid,abnormal,test,covid_DS1_CRIS13642405.png,3052.0,3052.0
CRIS13642468.png,DS1,covid,abnormal,5,covid_DS1_CRIS13642468.png,3052.0,2932.0
CRIS13642580.png,DS1,covid,abnormal,1,covid_DS1_CRIS13642580.png,3052.0,3052.0
CRIS13642688.png,DS1,covid,abnormal,3,covid_DS1_CRIS13642688.png,3028.0,3052.0
CRIS13642783.png,DS1,covid,abnormal,4,covid_DS1_CRIS13642783.png,2304.0,3267.0
CRIS13642899.png,DS1,covid,abnormal,5,covid_DS1_CRIS13642899.png,2800.0,3408.0
CRIS13642901.png,DS1,covid,abnormal,3,covid_DS1_CRIS13642901.png,3052.0,3052.0
CRIS13642919.png,DS1,covid,abnormal,test,covid_DS1_CRIS13642919.png,3052.0,3052.0
CRIS13642956.png,DS1,covid,abnormal,4,covid_DS1_CRIS13642956.png,3052.0,3052.0
CRIS13642965.png,DS1,covid,abnormal,1,covid_DS1_CRIS13642965.png,3052.0,3052.0
CRIS13643363.png,DS1,covid,abnormal,5,covid_DS1_CRIS13643363.png,3052.0,3012.0
CRIS13643477.png,DS1,covid,abnormal,5,covid_DS1_CRIS13643477.png,3052.0,3052.0
CRIS13643627.png,DS1,covid,abnormal,3,covid_DS1_CRIS13643627.png,3052.0,2596.0
CRIS13643738.png,DS1,covid,abnormal,2,covid_DS1_CRIS13643738.png,3052.0,3052.0
CRIS13643772.png,DS1,covid,abnormal,2,covid_DS1_CRIS13643772.png,3052.0,3052.0
CRIS13643773.png,DS1,covid,abnormal,4,covid_DS1_CRIS13643773.png,3052.0,3052.0
CRIS13643776.png,DS1,covid,abnormal,1,covid_DS1_CRIS13643776.png,2800.0,3232.0
